Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Developing a Critical Thinking Mindset,"Critical thinking is often cited as a desirable skill to have, but what exactly does it mean to be a critical thinker, and how does one achieve this mindset? The goal of critical thinking is to give ourselves time and tools for improving how we think, to see things closer to how they really are, and get a better sense of the world. But just understanding the concepts won’t get you there. As Becki Saltzman explains, developing a critical thinking mindset requires commitment and deliberate practice. Becki shows how to put critical thinking knowledge to work to create a mindset that enables you to examine information and determine how to assess information you can trust. She also shows how to develop mental agility to apply insights from one context to the next, ways you can avoid overthinking, and tips on how to balance rational, strategic, and even emotional thinking. After this course, you’ll be on your way to developing the mindset necessary for critical thinking to flourish.",Course,2021-10-03 12:01 UTC,N/A,false,N/A,
Building Relationships While Working from Home,"Working from home removes distractions, but also eliminates important face-to-face interactions. Home-based workers often report feeling disconnected, isolated, and alone. This course teaches us how to create professional yet personal connections with remote team members and how to satisfy that missing element of closeness that people get when they are together at work. Productivity expert Dave Crenshaw explains how to reach out to others, be authentic online, build a great reputation, and make meaningful connections with your peers. These tips are invaluable for anyone working from home—and particularly relevant for those working under the challenging conditions brought about by the COVID-19 pandemic. Take the time to watch this course and invest the time and skills it takes to rekindle your most valuable relationships at work.<br><br>

This course was created by Dave Crenshaw and Invaluable Inc. We are pleased to offer this training in our library.",Course,2020-12-10 09:39 UTC,N/A,false,N/A,
Develop Your Skills as a New Manager,"Develop skills you need to be a successful new manager. After completing this learning path, you'll be able to define your leadership style and build trust with your team, communicate with impact, coach others, set goals, and delegate tasks, while creating a work culture that values belonging.",Learning Path,2020-06-25 14:36 UTC,N/A,false,N/A,
Getting Started with Microsoft Excel,"New to Microsoft Excel? Get up to speed fast with the world's #1 spreadsheet program. In this learning path, you can learn to create and format basic spreadsheets in Excel.",Learning Path,2022-07-22 08:36 UTC,N/A,false,N/A,
Getting Started as an Agile Project Manager,"Deliver projects with the highest level of performance and quality as an agile project manager. This path will help you build a solid foundation in leading and motivating agile project teams, from developing user stories and agile charts to driving productive meetings.",Learning Path,2020-06-25 14:36 UTC,N/A,false,N/A,
Develop Your SEO Skills,"An SEO expert plays a vital role in helping a company build its business. Learn the basics of SEO and grow your skills across key aspects, such as identifying the right tools to meet your needs, keyword strategies, content writing, link-building, optimizing your website, and more.",Learning Path,2020-06-25 14:36 UTC,N/A,false,N/A,
Getting Started as a Project Coordinator,"Kick-start your career in project management as a project coordinator. From project management basics to communication and meeting leadership, you'll learn how to keep project tasks and teams on track in the most efficient ways.",Learning Path,2020-06-25 14:36 UTC,N/A,false,N/A,
Getting Started as a Project Manager,"Project managers have diverse skill sets that allow them to approach projects with strategy and efficiency. After completing this learning path, you'll have the skills and knowledge to manage various types of projects from beginning to end using proven project management techniques.",Learning Path,2020-06-25 14:36 UTC,N/A,false,N/A,
Master Microsoft Excel,Employers around the world cite Microsoft Excel as one of the most sought-after skills for any new hire. This learning path helps you become an Excel power user—covering everything from functions and formatting to PivotTables and dashboards.,Learning Path,2022-04-30 11:40 UTC,N/A,false,N/A,
How to create a community online,"This video explains that communities are a great way to drive ROI for marketing. After watching this video, you will be able to use communities to drive ROI.",Video (3rd Party Provider),2023-12-06 12:36 UTC,N/A,false,N/A,
Introducing Daily,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeVideo:60347605,Video (3rd Party Provider),2023-12-06 12:36 UTC,N/A,false,N/A,
Teacher Tips,"In this course, author and educator Aaron Quigley shows you how to stay up to date with the latest educational technology and classroom management techniques. He introduces you to new tips you can use to be more efficient, and increase student achievement. Aaron covers concepts like the flipped classroom, Common Core Standards, and the role of social media in education. This course also covers a variety of productivity apps, learning management systems, and other technologies, using a project-based approach that simulates the real K–12 or university classroom environment.",Course,2016-09-14 23:58 UTC,N/A,false,N/A,
Social Media Marketing for Small Business (2016),"Small businesses can't afford not to be active on social media. Having a Facebook, Instagram, or Twitter account keeps you tuned into your customer base and helps drive traffic to your website or brick-and-mortar store. Learn what it takes to be successful at social media marketing, without a lot of resources or dedicated marketing staff. Digital and social media strategist Martin Waxman explains the key terms and definitions—everything from SEO to hashtags—and tells you how to start finding your customers online. Learn how to make an action plan that outlines your goals, team, and budget, and find time to implement your ideas. He also talks about what content to publish where and the tools you need to measure the success of your efforts.",Course,2016-10-18 07:20 UTC,N/A,true,N/A,
Stepping Up Your Webcam Video Presence,"Nearly everyone has a webcam, but many people don’t put the effort into enhancing their webcam video presence. But with just a few relatively easy and inexpensive tweaks, you can capture well-composed, well-lit shots with great audio using the humble webcam. In this course, senior staff instructor Ashley Kennedy shows you how to represent your best self in meetings, as well as presentations, trainings, vlogs, interviews, demos, Q&As, and other types of web videos. Learn basic strategies for optimizing your system and your webcam, staging and lighting your shot, capturing high-quality audio, scripting and rehearsing for big-stakes webcam presentations, and more.",Course,2021-06-16 03:18 UTC,N/A,false,N/A,
Animating in Photoshop,"Interested in bringing your line drawings to life? With Adobe Photoshop, you can transform your hand-drawn artwork into compelling animations quickly, avoiding complex specialty software with steep learning curves. Learn how to use Photoshop to make your drawings move in this course with veteran animator Dermot O' Connor. Find out how to draw captivating characters with media brushes, clean up your rough drawings, and add color and inking. Dermot then takes you to the timeline where the animation takes place and shows how to draw the keys, or main poses of an animation; breakdowns; and inbetweens. He also shows how to plot arcs to establish timing and spacing. Finally, learn how to adjust the timing of the final animation and render out the results. By the end of this course, you'll be able to harness this popular software to bring your artwork to life.<br><br>This course was created by Dermot O' Connor. We are pleased to offer this training in our library.",Course,2021-09-06 18:22 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-04-06 11:51 UTC,N/A,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p><p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2023-12-05 16:26 UTC,N/A,true,N/A,
SOLIDWORKS 2021 Essential Training,"SOLIDWORKS is the premier product-design software—enabling you to deliver innovative solutions to market faster. In this course, Gabriel Corbett teaches you how to build ready-to-manufacture parts and assemblies as well as detailed drawings and itemized bills of materials in SOLIDWORKS 2021. Learn how to create 2D sketches and then extrude, revolve, loft, and sweep these features into 3D objects. Find out how to make cuts and create standard holes, and explore more advanced modeling techniques using blocks, mirroring, and the SOLIDWORKS pattern tools. Then review best practices for putting parts together in assemblies and creating detailed drawings. Along the way, Gabriel highlights new features from the 2021 release, as well as features designed for users with pen or touch devices.",Course,2021-08-19 07:19 UTC,N/A,false,N/A,
AutoCAD 2016 Essential Training,"Scott Onstott has been using AutoCAD for 24 years and has witnessed its evolution into the most popular industry-standard computer-aided drafting and design application. This course is your detailed introduction to the 2016 version of AutoCAD. Scott begins with the basics of the user interface and leads you step-by-step to learning how to draw the kind of precise, measured 2D drawings that form the basis of design communication the world over. Along the way, you'll learn how to create and modify geometry, layers, blocks, attributes, dimensions, layouts, and how to share your drawings with others.<br><br>

Note: The course is an update to our 2015 training, including new movies on working with object snaps, writing multiline objects, making dimension objects, and more.",Course,2016-09-07 13:58 UTC,N/A,false,N/A,
How to Confidently Negotiate Your Salary,"Learn how to confidently negotiate your salary and ask for what you are worth. In this course, adapted from the American Negotiation Institute podcast <em>Negotiate Anything</em>, Kwame Christian joins Meggie Palmer to discuss the topic of salary negotiation. Meggie is the founder and CEO of <a href=""https://www.peptalkher.com/"" target=""_blank"">PepTalkHer</a>, a tech-coaching program empowering women and helping companies close the gender gap. Learn how to gain confidence through preparation, recognize your value, negotiate in the job you have now, and take the time you need when you’re considering an offer from a new company. These tips will help you get the salary and benefits package you deserve—no matter your position.<br><br>

This course was created by the American Negotiation Institute. We are pleased to offer this training in our library.",Course,2021-08-03 17:20 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:410333,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:410333,Course,2016-06-12 09:22 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-10-29 12:58 UTC,N/A,false,N/A,
