Event Name,Event Time,Status,External Url
C-OptiMe - Sistema di misura collaborativo by Fratelli Rotondi Srl,"Jan 29, 2021 10:00 AM - Jan 29, 2021 11:00 AM",RELINQUISHED,https://attendee.gotowebinar.com/register/5553478613169768208
Digital Innovation Tour 2024 - Tappa a Traversetolo (PR),"Mar 09, 2024 09:15 AM - Mar 09, 2024 10:45 AM",RELINQUISHED,https://sportelloaziendadigitale.it/eventi/progettualita-e-risorse-economiche-per-le-pmi/
Federal R&D Funding for Semiconductors,"Jul 19, 2022 05:00 PM - Jul 19, 2022 06:00 PM",RELINQUISHED,https://us02web.zoom.us/webinar/register/WN_R25lVB5xQ3SatLGTAU32-w
Progetti e Risorse Economiche per le Imprese – Parma ,"Feb 22, 2025 08:30 AM - Feb 22, 2025 11:30 AM",RELINQUISHED,https://sportelloaziendadigitale.it/eventi/imprenditori-e-le-risorse-economiche-per-le-imprese-parma/
Speed Networking with Mike and Ira 10-6-20,"Oct 06, 2020 10:00 PM - Oct 07, 2020 12:00 AM",RELINQUISHED,https://live.remo.co/e/speed-networking-with-mike-and-i-6
The Personal Brand Funnel: Effortlessly Turn Connections Into Clients,"May 29, 2025 01:00 PM - May 29, 2025 02:00 PM",RELINQUISHED,https://us06web.zoom.us/j/86124956079?pwd=Rq8a1y6KBw0b7sM6e7zsf836Ea1wkI.1
Pull down or Pull out Kitchen faucet is your choice for your new kitchen?,"Mar 23, 2022 08:00 AM - Apr 23, 2022 09:00 AM",RELINQUISHED,
"MARKETING, ECOMMERCE E CONSENSI - Webinar gratuito","Jul 01, 2021 12:00 PM - Jul 01, 2021 01:00 PM",RELINQUISHED,
The Industry 4.0 Showcase,"Jan 27, 2022 06:00 PM - Jan 27, 2022 09:30 PM",RELINQUISHED,
"Conferenza GDPR Day 2023 | Privacy, GDPR e Data Protection - 19/10, Bologna","Oct 18, 2023 05:00 PM - Oct 19, 2023 06:00 PM",RELINQUISHED,https://www.gdprday.it/registrazione/
WEBINAR | Next Yacht Group: lo Stack Tech dietro un’eccellenza italiana,"Jul 03, 2025 10:00 AM - Jul 03, 2025 11:00 AM",RELINQUISHED,https://events.digital360.it/revops-experience-webinar-next-yacht-group
Amazon Next Level - Corso Completo su Amazon,"Oct 01, 2022 07:00 AM - Oct 02, 2022 10:00 AM",APPROVED,https://www.amazonnextlevel.it
R&D Funding for Advanced Manufacturing,"Jun 23, 2021 05:00 PM - Jun 23, 2021 06:00 PM",RELINQUISHED,
Conferenza nazionale Tesla Club Italy Revolution 2022,"Sep 17, 2022 06:30 AM - Sep 17, 2022 04:30 PM",RELINQUISHED,https://www.teslarevolution.net/acquista-il-biglietto
Tecna Next,"Oct 27, 2020 06:00 PM - Sep 20, 2021 06:00 PM",RELINQUISHED,
Funding Stack Summit: Explore Alternative Finance to Crowdfunding Ideas,"Jun 26, 2020 05:00 PM - Jun 28, 2020 12:00 AM",RELINQUISHED,https://funding-stack-summit.heysummit.com/tickets/
💪The Deliberate Meeting: End Decision Paralysis & Unlock Hidden Profits 💰,"Jul 10, 2025 10:00 PM - Jul 10, 2025 11:00 PM",RELINQUISHED,https://us02web.zoom.us/meeting/register/VWH0sb6OTkekuvLHrJGPiw
Personal Branding & Networking on LinkedIn for Industry Transition,"Mar 19, 2022 03:00 PM - Mar 19, 2022 04:30 PM",RELINQUISHED,https://wustl-hipaa.zoom.us/j/92853323591?pwd=SVVJR0FsRGYyRUF3Y1FpZVpEclg2dz09
Proprietà intellettuale e incentivi,"May 28, 2024 03:30 PM - May 28, 2024 05:30 PM",RELINQUISHED,https://info.esclamativa.it/Convegno_Patent_Box
AFWERX - Funding in 60 Days for Photonics Companies,"Sep 24, 2020 08:00 PM - Sep 24, 2020 09:00 PM",RELINQUISHED,https://us02web.zoom.us/webinar/register/2516008873887/WN_RS2R9S8GRveIonrx1YHtbQ
Fare l'Amazon Account Manager: la nuova Professione richiesta dalle Imprese,"Sep 23, 2021 07:00 PM - Sep 23, 2021 09:00 PM",RELINQUISHED,
AQUATECH AMSTERDAM 2023,"Nov 06, 2023 09:00 AM - Nov 09, 2023 05:00 PM",RELINQUISHED,https://www.aquatechtrade.com/amsterdam
Internazionalizzazione 4.0: Strategie digital e Contributi per l'export,"Jul 25, 2024 09:00 AM - Jul 25, 2024 10:00 AM",RELINQUISHED,
Deep Dive into the NSF,"Jan 19, 2022 06:00 PM - Jan 19, 2022 07:00 PM",RELINQUISHED,
Public Education Is A Civil Right (Talk w/ former Congressman),"Jan 26, 2021 08:00 PM - Jan 26, 2021 09:00 PM",RELINQUISHED,
L'AI al di là delle emozioni,"May 02, 2023 08:00 AM - May 02, 2023 05:00 PM",RELINQUISHED,https://iaemozioni.eventbrite.it
SPECIALE SANZIONI GDPR 2018-2021,"Jun 17, 2021 12:00 PM - Jun 17, 2021 01:00 PM",RELINQUISHED,https://www.privacyos.com/webinar-speciale-sanzioni-gdpr-2018-2021/
